variety,exchange,name,unit,price_unit
IC,CFE,中证500股指期货,200,指数点
IF,CFE,沪深300股指期货,300,指数点
IH,CFE,上证50股指期货,300,指数点
IM,CFE,中证1000股指期货,200,指数点
TF,CFE,5年期国债期货,10000,百元净价报价
TS,CFE,2年期国债期货,20000,百元净价报价
T,CFE,10年期国债期货,10000,百元净价报价
AP,CZC,苹果,10,元/吨
CF,CZC,棉花,5,元/吨
CJ,CZC,红枣,5,元/吨
CY,CZC,棉纱,5,元/吨
FG,CZC,玻璃,20,元/吨
JR,CZC,粳稻,20,元/吨
LR,CZC,晚籼,20,元/吨
MA,CZC,甲醇,10,元/吨
OI,CZC,菜油,10,元/吨
PF,CZC,短纤,5,元/吨
PK,CZC,花生,5,元/吨
PM,CZC,普麦,50,元/吨
RI,CZC,早籼稻,20,元/吨
RM,CZC,菜粕,10,元/吨
RS,CZC,菜籽,10,元/吨
SA,CZC,纯碱,20,元/吨
SF,CZC,硅铁,5,元/吨
SM,CZC,锰硅,5,元/吨
SR,CZC,白糖,10,元/吨
TA,CZC,PTA,5,元/吨
UR,CZC,尿素,20,元/吨
WH,CZC,强麦,20,元/吨
ZC,CZC,动力煤,100,元/吨
A,DCE,豆一,10,元/吨
BB,DCE,胶合板,500,元/张
B,DCE,豆二,10,元/吨
CS,DCE,玉米淀粉,10,元/吨
C,DCE,玉米,10,元/吨
EB,DCE,苯乙烯,5,元/吨
EG,DCE,乙二醇,10,元/吨
FB,DCE,纤维板,10,元/立方米
I,DCE,铁矿石,100,元/吨
JD,DCE,鸡蛋,10,元/500千克
JM,DCE,焦煤,60,元/吨
J,DCE,焦炭,100,元/吨
LH,DCE,生猪,16,元/吨
L,DCE,聚乙烯,5,元/吨
M,DCE,豆粕,10,元/吨
PG,DCE,LPG,20,元/吨
PP,DCE,聚丙烯,5,元/吨
P,DCE,棕榈油,10,元/吨
RR,DCE,粳米,10,元/吨
V,DCE,PVC,5,元/吨
Y,DCE,豆油,10,元/吨
SI,GFE,工业硅,5,元/吨
AG,SHF,沪银,15,元/千克
AL,SHF,沪铝,5,元/吨
AU,SHF,黄金,1000,元/克
BC,SHF,国际铜,5,元/吨
BU,SHF,石油沥青,10,元/吨
CU,SHF,沪铜,5,元/吨
FU,SHF,燃油,10,元/吨  (报价不含税)
HC,SHF,热轧卷板,10,元/吨
LU,SHF,低硫燃料油,10,元/吨
NI,SHF,沪镍,1,元/吨
NR,SHF,20号胶,10,元/吨
PB,SHF,沪铅,5,元/吨
RB,SHF,螺纹钢,10,元/吨
RU,SHF,橡胶,10,元/吨
SC,SHF,原油,1000,元/桶
SN,SHF,沪锡,1,元/吨
SP,SHF,纸浆,10,元/吨
SS,SHF,不锈钢,5,元/吨
WR,SHF,线材,10,元/吨
ZN,SHF,沪锌,5,元/吨
